hs4_code,year,imports_uganda,unit_value_usd_t
5807,2019,184.0,3156
5807,2021,162.9,8239
5807,2022,202.7,5408
5807,2024,600.0,
6006,2019,571.5,3262
6006,2021,339.4,4374
6006,2022,751.7,1973
6006,2024,8400.0,
6109,2019,6352.8,2475
6109,2021,8358.5,2649
6109,2022,5194.1,3981
6109,2024,18000.0,
6211,2019,350.4,2662
6211,2021,309.5,3130
6211,2022,737.0,5153
6211,2024,4200.0,
6305,2019,13161.6,1719
6305,2021,14406.5,1647
6305,2022,11908.8,1728
6305,2024,8600.0,
6810,2019,496.3,209
6810,2021,153.5,836
6810,2022,301.3,1026
6810,2024,4200.0,
6907,2019,17096.0,
6907,2021,23475.4,248
6907,2022,30124.8,264
6907,2024,42000.0,
7005,2019,7948.9,317
7005,2021,12220.5,385
7005,2022,13321.8,399
7005,2024,18000.0,
7007,2019,1964.9,845
7007,2021,1837.6,945
7007,2022,2181.5,1182
7007,2024,6800.0,
7010,2019,15959.5,571
7010,2021,20232.1,588
7010,2022,22422.7,778
7010,2024,3200.0,
7019,2019,376.0,1522
7019,2021,708.4,2759
7019,2022,504.7,
7019,2024,2400.0,
7202,2019,3855.2,1090
7202,2021,6428.5,1318
7202,2022,5958.6,1521
7202,2024,5911.0,
7204,2019,21441.3,281
7204,2021,41755.9,315
7204,2022,64667.0,546
7204,2024,72847.0,
7207,2019,24249.5,507
7207,2021,34239.4,550
7207,2022,47870.3,748
7207,2024,78549.0,
7208,2019,167092.0,640
7208,2021,208749.6,911
7208,2022,260779.6,1010
7208,2024,219496.0,
7209,2019,966.8,730
7209,2021,3087.0,1064
7209,2022,4163.0,1125
7209,2024,4213.0,
7210,2019,65492.2,1092
7210,2021,90607.4,1336
7210,2022,117296.7,1499
7210,2024,101421.0,
7211,2019,1782.5,776
7211,2021,843.8,771
7211,2022,954.1,1053
7211,2024,657.0,
7213,2019,54051.3,606
7213,2021,90414.4,694
7213,2022,54082.5,894
7213,2024,34054.0,
7214,2019,1354.1,
7214,2021,719.3,944
7214,2022,2646.1,892
7214,2024,2725.0,
7216,2019,14105.2,804
7216,2021,16651.0,845
7216,2022,16925.8,1036
7216,2024,15301.0,
7217,2019,2217.6,1034
7217,2021,2739.8,1199
7217,2022,1474.5,1141
7217,2024,4200.0,
7301,2019,290.2,1190
7301,2021,183.9,1176
7301,2022,105.1,962
7301,2024,1595.0,
7302,2019,910.7,1514
7302,2021,53.8,1379
7302,2022,25610.0,3313
7302,2024,12342.0,
7304,2019,954.7,1453
7304,2021,1865.5,1856
7304,2022,28951.2,2865
7304,2024,41572.0,
7305_7306,2019,2005.1,1028
7305_7306,2021,817.5,1266
7305_7306,2022,7068.4,1279
7305_7306,2024,23935.0,
7403,2019,909.7,3859
7403,2021,240.5,3104
7403,2022,1254.5,6151
7403,2024,6900.0,
7404,2019,7.5,6937
7404,2021,0.1,2537
7404,2022,64.5,2846
7404,2024,400.0,
7407,2019,481.2,2809
7407,2021,418.8,3415
7407,2022,614.2,3764
7407,2024,1800.0,
7408,2019,3820.6,6067
7408,2021,3322.5,5469
7408,2022,3767.5,7400
7408,2024,2800.0,
7601,2019,11380.3,2157
7601,2021,10805.9,2784
7601,2022,12731.2,3131
7601,2024,12995.0,
7604,2019,1621.4,2919
7604,2021,2168.5,3730
7604,2022,2368.8,3635
7604,2024,4200.0,
7607,2019,3866.7,3797
7607,2021,4068.5,4393
7607,2022,6085.4,4436
7607,2024,8200.0,
7614,2019,1902.6,2747
7614,2021,7983.1,2789
7614,2022,2268.3,3496
7614,2024,8600.0,
7801,2019,1.0,4404
7801,2021,0.9,3576
7801,2024,602.0,
7901,2019,11747.4,2753
7901,2021,13898.3,3120
7901,2022,13585.4,3723
7901,2024,12483.0,
8001,2019,249.4,21953
8001,2021,385.7,30011
8001,2022,803.0,44227
8001,2024,222.0,
8311,2019,4099.4,912
8311,2021,2203.0,1292
8311,2022,3163.3,1209
8311,2024,5697.0,
8407,2019,6720.3,4957
8407,2021,2389.0,1423
8407,2022,2129.4,
8407,2024,12000.0,
8417,2019,2079.3,5179
8417,2021,2861.7,3546
8417,2022,3219.9,4156
8417,2024,3991.0,
8455,2019,6333.6,3464
8455,2021,7433.6,4485
8455,2022,10719.2,4553
8455,2024,49557.0,
8501,2019,20286.1,3121
8501,2021,17072.0,3156
8501,2022,20246.2,2964
8501,2024,8400.0,
8507,2019,15752.9,3285
8507,2021,31417.4,4067
8507,2022,45940.8,
8507,2024,22000.0,
8544,2019,27287.2,3305
8544,2021,31733.2,3547
8544,2022,36185.2,
8544,2024,57700.0,
8545,2019,138.6,7188
8545,2021,131.9,5641
8545,2024,177.0,
8702,2019,27013.1,4266
8702,2021,21104.6,3660
8702,2022,22031.7,4695
8702,2024,18600.0,
8703,2019,182494.5,3314
8703,2021,183425.6,3484
8703,2022,212590.1,4264
8703,2024,182000.0,
8706,2019,25.2,1034
8706,2021,18.5,946
8706,2022,471.5,11311
8706,2024,4200.0,
8708,2019,17936.9,1230
8708,2021,22048.5,1505
8708,2022,21780.7,1553
8708,2024,31700.0,
8711,2019,75549.5,4722
8711,2021,132923.7,4520
8711,2022,156613.4,5236
8711,2024,157000.0,
8714,2019,14155.1,1005
8714,2021,14433.6,1077
8714,2022,12978.6,
8714,2024,6400.0,
8716,2019,14698.7,1840
8716,2021,16644.9,2070
8716,2022,15999.7,2225
8716,2024,8400.0,
9018,2019,30272.3,11383
9018,2021,51336.8,15958
9018,2022,58206.7,11339
9018,2024,14000.0,
9607,2019,508.8,1770
9607,2021,469.9,1440
9607,2022,527.9,1167
9607,2024,800.0,
